,Sentence,Sentiment,Translated_Sentence
119,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,"Dalam laporan keuangan kuartal pertama 2010, Tikkurila dilaporkan dalam operasi yang dihentikan."
120,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"Produsen baja nirkarat terbesar kedua di dunia itu mengatakan laba bersih dalam periode tiga bulan hingga 31 Desember melonjak menjadi euro603 juta US$781 juta, atau euro3,33 US$4,31 per saham, dari euro172 juta, atau euro0,94 per saham. berbagi, tahun sebelumnya."
121,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,"Nama Pemohon : Otomasi Jot OYNama Penemu : Mammila Tuomo , Piirainen Mika dan Kellokoski MikaNomor Permohonan : 2424-KOLNP-2008 Tanggal Pengajuan Permohonan : 16-06-2008Tanggal Publikasi : 30/01/2009"
122,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,Netflix Mengembangkan Upaya Untuk Menciptakan Pelanggan Setia $NFLX https://t.co/5QXBkoBphe
123,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,"Indeks OMX Nordic 40 OMXN40, yang terdiri dari 40 saham Nordik yang paling banyak diperdagangkan di bursa Nasdaq OMX, ditutup turun 0,87% pada 1.064,14 poin pada hari Kamis."
124,$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,$AAPL menggigit sedikit panjang melalui 525.. membeli grafik 13 menit..
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,"Margin operasi divisi Aker Yards Cruise & Ferries turun dari 8,3% menjadi 6,4% pada kuartal pertama tahun 2007 ."
126,"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,"$TYC baru saja akan menembus ke level tertinggi baru, banyak teknikal tampak hebat saat ini."
127,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,"Eero Katajavuori , saat ini Group Vice President , Human Resources , akan mengambil cuti panjang selama setahun mulai 1 Oktober 2010 ."
128,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,"Ada apa dengan $LULU? Angka terlihat bagus, tidak bagus, tapi bagus. Saya pikir panggilan konferensi akan menanamkan kepercayaan diri."
129,The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,Langkah-langkah penyesuaian akan dilakukan secara bertahap untuk mengamankan kemampuan pengiriman.
130,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,"Alma Media Corporation Siaran Pers 15 Maret 2010 TYRVAAN SANOMAT DAN PAIKALLISSANOMAT DIBELI OLEH SUOMEN PAIKALLISSANOMAT Dua surat kabar lokal, Tyrvaan Sanomat dan Paikallissanomat, yang terbit di Sastamala dan kota-kota sekitarnya, akan dibeli oleh Suomen Paikallissanomat Oy."
131,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,Pemberhentian sementara yang berdampak pada seluruh tenaga kerja juga akan dilakukan.
132,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,"Pertemuan untuk media dan analis akan diadakan pada hari yang sama pada pukul 10:30 di Markas Besar Stonesoft di Helsinki, Italahdenkatu 22 A. Laporan sementara akan disampaikan oleh CEO Stonesoft, Ilkka Hiidenheimo."
133,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,"Sampo-Rosenlew Finlandia memproduksi sekitar tujuh mesin hutan setiap bulan , dan sekitar setengahnya diekspor ."
134,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,"Facebook, mendekati titik beli minggu lalu, menghadapi tes teknis yang berbeda hari ini https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY"
135,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,"4 Februari 2011-Penyedia sistem komunikasi data broadband Finlandia Teleste Oyj HEL: TLT1V mengatakan pada hari Rabu bahwa laba bersihnya meroket menjadi EUR4,8 juta pada tahun 2010 dari EUR416.000 pada tahun 2009 dan pihaknya mencabut proposal dividennya."
136,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,$GRATIS Ha Heeeeeere datang pompa! Sangat senang saya mengambil 9K akhir hari! Bersiaplah untuk naik banteng!
137,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,"Grup teknologi Finlandia Aspocomp Group Oyj (OMX Helsinki: ACG1V) mengeluarkan laporan kuartal ketiganya pada hari Kamis (13 November), membukukan laba operasi sebesar EUR0,4 juta, dibandingkan dengan kerugian sebesar EUR0,5 juta pada kuartal ketiga tahun 2007 ."
138,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,"Kompleks bangunan terdiri dari kantor berkualitas tinggi dan ruang ritel seluas 49.200 meter persegi, kata perusahaan itu."
139,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,Perusahaan asuransi Finlandia Fennia dan Kesko Group mengakhiri kerja sama pelanggan setia mereka.
140,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,Unit ini direncanakan akan beroperasi pada paruh kedua tahun 2007 dan beroperasi penuh pada tahun 2008 .
141,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,Bagian ITG dalam kesepakatan itu diperkirakan sekitar 500.000 euro $ 627.000 .
142,The plant is expected to enter commercial operation by mid-2009 .,neutral,Pabrik ini diharapkan mulai beroperasi secara komersial pada pertengahan 2009 .
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,Aspo juga telah menyelidiki peluang penjualan bisnis elektronik Kaukomarkkinat.
144,BG Group appoints new CEO one month early,neutral,BG Group menunjuk CEO baru satu bulan lebih awal
145,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,Akuisisi ini akan memiliki dampak positif langsung pada hasil keuangan Aspocomp.
146,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,"Faktor beban penumpang Finnair, yang mengukur jumlah kursi yang terjual sebagai bagian dari semua kursi yang tersedia, turun sebesar 1,3 poin persentase menjadi 76,7% pada bulan September."
147,RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,RT @bman1 $LNG terlihat prima juga $EGHT siap untuk dijalankan juga...
148,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,"Ini juga 7,7% di atas harga rata-rata tertimbang volume 12 bulan dari saham tersebut."
149,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,"Dividen kokas - 3%. Dividen Google - 0%. Untuk pendapatan pasif, Coke mengambilnya. $GOOG $KO https://t.co/QBsoWjxOST"
150,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,"Laba sebelum pajak adalah EUR 5,4 juta, naik dari EUR 3,6 juta setahun sebelumnya."
151,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,Anak perusahaan tersebut sedang menyiapkan fasilitas untuk membuat papan sirkuit cetak atau PCB interkoneksi kepadatan tinggi di zona ekonomi khusus Nokia di Sriperumbudur dekat Chennai.
152,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,$CRM 40 Sep panggilan +35% sejak entri #BANG ​​http://stks.co/deDm
153,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,"Pada Januari-Juni 2010 , kerugian per saham terdilusi mencapai EUR0 .3 versus EUR0 .1 pada paruh pertama 2009 ."
154,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,Rapala mengatakan pihaknya memperkirakan akan menghemat 1-2 juta euro per tahun dengan memusatkan operasi Prancisnya di satu lokasi.
155,$VMW  Got a nice push today following small sweepers of May C this morning,positive,$VMW Mendapat dorongan yang bagus hari ini setelah penyapu kecil Mei C pagi ini
156,That topped consensus forecasts for earnings of 0.21 euros a share .,positive,"Itu melampaui perkiraan konsensus untuk pendapatan 0,21 euro per saham."
157,R&D Loan ) .,neutral,Pinjaman Litbang).
158,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,"Kedepannya, perusahaan bermaksud mencari know-how dari luar perusahaan dan bekerjasama dengan pelaku lain di sektor tersebut."
159,"You need to be ready when the window opens up , Rosberg said .",neutral,"Anda harus siap ketika jendela terbuka, kata Rosberg."
160,"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,Lebih dari 50.000 ton campuran aspal akan digunakan dalam kontrak.
161,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,"PA), JPMorgan Chase and Co (NYSE: JPM) dan Pohjoa Bank adalah manajer utama bersama dalam kesepakatan senior tanpa jaminan."
162,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,$CTRP pecah di sini pada vol yang bagus dan sinyal beli parser ..perhatikan ini pada komentar bob langs mencari 48 cepat
163,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,"Penjualan di Finlandia turun 10,5% di bulan Januari, sementara penjualan di luar Finlandia turun 17%."
164,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,Produksi pulp di Kemij+ñrvi Finlandia juga akan dilikuidasi dan sekitar 1.100 karyawan kehilangan pekerjaan .
165,Nordea was the cheapest also for a couple in their 30s with debt .,neutral,Nordea adalah yang termurah juga untuk pasangan berusia 30-an dengan utang.
166,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,"Jussi Pesonen , anggota Dewan Sampo sejak 2006 , akan mengundurkan diri dari Dewan Sampo ."
167,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,Tesla menarik kembali 2.700 mobil Model X: https://t.co/8Z7BkVsTl9 $TSLA
168,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,"Disesuaikan dengan perubahan struktur Grup, penjualan bersih Divisi meningkat sebesar 1,7%."
169,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,"Membuat masalah menjadi lebih sulit, perusahaan mengatakan telah bergulat dengan harga minyak dan gas yang lebih tinggi, yang telah mendorong naiknya biaya energi, bahan baku dan transportasi."
170,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,Amandemen proposal menyederhanakan rencana yang diusulkan dan meningkatkan insentif bagi karyawan kunci untuk tetap tinggal di Perusahaan.
171,The solution will now be expanded to include all ground staff tasks .,neutral,Solusinya sekarang akan diperluas untuk mencakup semua tugas staf darat.
172,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,"Kerugian operasional mencapai EUR 3,2 juta , dibandingkan dengan laba EUR 7,2 juta pada kuartal ketiga 2008 ."
173,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,"Pada #FEDDAY mencari kenaikan tajam dalam ekuitas $AAPL $HD $LOW $FB melihat $UVXY $TVIX terpukul, meskipun pasar turun."
174,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,"Penjualan bersih mencapai EUR 93,6 juta , naik dari EUR 93,2 juta pada periode yang sama tahun 2005 ."
175,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,Akibatnya Dewan Pekerjaan mencabut petisinya untuk menunda reorganisasi.
176,CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,CEO Erkki J+ñrvinen senang dengan kinerja perusahaan di tahun 2010 .
